"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"40","berlin","2020-13-10",63052,"Neuköllner Mitte/Zentrum",52.46892,13.43454,"Private room in apartment","Private room",3,1,1,"$40.00",9,90,29,40,40
"41","berlin","2020-13-10",64014,"Prenzlauer Berg Nordwest",52.54076,13.4043,"Entire apartment","Entire home/apt",4,2,3,"$154.00",2,365,17,154.615384615385,2010
"42","berlin","2020-13-10",64245,"Prenzlauer Berg Nordwest",52.5465,13.40633,"Private room in apartment","Private room",4,1,2,"$45.00",3,90,0,45,1350
"43","berlin","2020-13-10",64590,"südliche Luisenstadt",52.49519,13.42398,"Entire apartment","Entire home/apt",4,2,2,"$118.00",2,365,0,118,3540
"44","berlin","2020-13-10",68142,"Frankfurter Allee Nord",52.52489,13.45386,"Private room in apartment","Private room",2,1,2,"$29.00",2,30,0,29,870
"45","berlin","2020-13-10",68448,"Prenzlauer Berg Nord",52.5498,13.41596,"Entire apartment","Entire home/apt",4,NA,2,"$51.00",2,200,5,64.92,1623
"46","berlin","2020-13-10",73302,"Schöneberg-Nord",52.50105,13.35032,"Entire apartment","Entire home/apt",2,1,2,"$70.00",17,130,0,69.1666666666667,2075
"47","berlin","2020-13-10",74614,"Prenzlauer Berg Südwest",52.5377,13.40854,"Entire apartment","Entire home/apt",6,3,4,"$120.00",2,360,0,120.166666666667,3605
"48","berlin","2020-13-10",80843,"Schmargendorf",52.48086,13.28998,"Entire apartment","Entire home/apt",2,1,1,"$43.00",2,210,2,285.285714285714,7988
"49","berlin","2020-13-10",81049,"Regierungsviertel",52.52142,13.38983,"Entire apartment","Entire home/apt",5,2,3,"$155.00",4,28,20,155,1550
"50","berlin","2020-13-10",81081,"Prenzlauer Berg Nord",52.54968,13.41528,"Entire apartment","Entire home/apt",2,1,1,"$66.00",3,35,1,66,1914
"51","berlin","2020-13-10",82893,"Brunnenstr. Süd",52.532,13.38285,"Entire apartment","Entire home/apt",2,1,1,"$75.00",3,365,0,75,2250
"52","berlin","2020-13-10",83183,"Prenzlauer Berg Süd",52.53677,13.42447,"Entire apartment","Entire home/apt",2,1,1,"$53.00",2,30,0,53,1590
"53","berlin","2020-13-10",83568,"Helmholtzplatz",52.54485,13.41891,"Entire apartment","Entire home/apt",3,1,2,"$105.00",2,30,0,104.333333333333,3130
"54","berlin","2020-13-10",83614,"Helmholtzplatz",52.54622,13.41786,"Entire apartment","Entire home/apt",5,2,4,"$156.00",1,1125,20,154,1540
"55","berlin","2020-13-10",85560,"Brunnenstr. Süd",52.53182,13.3823,"Entire condominium","Entire home/apt",2,1,1,"$79.00",3,365,21,79,711
"56","berlin","2020-13-10",86090,"Prenzlauer Berg Nord",52.54584,13.42612,"Entire guest suite","Entire home/apt",5,1,4,"$79.00",3,365,0,88.3333333333333,2650
"57","berlin","2020-13-10",86514,"südliche Luisenstadt",52.49821,13.44178,"Entire apartment","Entire home/apt",4,2,4,"$76.00",4,14,0,76.0666666666667,2282
"58","berlin","2020-13-10",87549,"Tempelhofer Vorstadt",52.49616,13.37397,"Private room in apartment","Private room",2,1,1,"$51.00",1,1125,0,51,1530
"59","berlin","2020-13-10",89102,"Prenzlauer Berg Südwest",52.54053,13.40995,"Entire apartment","Entire home/apt",4,1,2,"$116.00",4,365,5,120.8,3020
"60","berlin","2020-13-10",91290,"Reuterstraße",52.49004,13.42619,"Entire apartment","Entire home/apt",3,1,2,"$60.00",2,10,17,60,780
"61","berlin","2020-13-10",102882,"Tempelhofer Vorstadt",52.48878,13.42196,"Entire apartment","Entire home/apt",14,5,10,"$521.00",3,1125,0,520.4,15612
"62","berlin","2020-13-10",106331,"Prenzlauer Berg Süd",52.5337,13.4367,"Entire apartment","Entire home/apt",3,1,2,"$75.00",60,1125,2,84.0357142857143,2353
"63","berlin","2020-13-10",109658,"Frankfurter Allee Nord",52.52426,13.45207,"Entire condominium","Entire home/apt",2,1,1,"$89.00",4,60,17,89,1157
"64","berlin","2020-13-10",111579,"Alexanderplatz",52.5272,13.40953,"Entire apartment","Entire home/apt",2,1,1,"$75.00",5,21,0,75,2250
"65","berlin","2020-13-10",114763,"Schöneberg-Süd",52.48805,13.35325,"Entire apartment","Entire home/apt",6,3,6,"$119.00",3,30,29,115,115
"66","berlin","2020-13-10",115576,"Blankenfelde/Niederschönhausen",52.5815,13.39786,"Entire house","Entire home/apt",4,2,2,"$75.00",2,30,1,75,2175
